,gene_ks,gene_sensitive_at_5prime,gene_sensitive_at_3prime,logFC,FDR,logFC_5p,FDR_5p,logFC_3p,FDR_3p,Desc_5p,Desc_3p,is_PTR_5p,is_PTR_3p
19,KS17gene_114a,KS17gene_113a,Tb927.1.2970,-2.005166005201466,3.2925463039301676e-126,-1.4507867940871122,8.040909671923862e-21,0.34060937851307854,2.8659868626317274e-11,none,hypothetical protein  conserved,none,none
20,KS17gene_131a,Tb927.1.3200,Tb927.1.3220,-3.30914775393917,2.889354267481192e-57,1.5272008469819056,1.3864475068773042e-263,-0.2909192447876967,0.004630901969145079,Suppressor of G2 allele of SKP1  putative,TBC1 domain family member 20/GTPase  putative,none,none
22,KS17gene_142a,Tb927.1.3310,Tb927.1.3320,-1.3702852049375664,2.1836897824376065e-13,1.2129781249678615,1.982747061161793e-87,-0.9188599244189914,6.24492365665122e-10,hypothetical protein  conserved,leucine-rich repeat protein (LRRP)  putative,none,none
23,KS17gene_155a,Tb927.1.3890,Tb927.1.3910,1.4090743936766754,9.320660714413119e-11,2.021956775985831,1.3911643534315407e-28,0.2679555944288015,2.174493471175993e-07,hypothetical protein,Anaphase-promoting complex subunit CDC23,none,none
25,KS17gene_160a,Tb927.1.4020,Tb927.1.4040,0.972679103149551,2.354637629308055e-27,1.788920733015458,4.693761761263882e-12,0.624437144948857,2.4393291040986595e-12,hypothetical protein,hypothetical protein  conserved,increase,none
26,KS17gene_161a,Tb927.1.4050,Tb927.1.4100,1.1635332271858863,6.443789550718412e-14,0.564307692646733,1.0594936593253331e-18,1.7934785255910997,2.224730204335447e-217,ser/thr protein phosphatase  putative,cytochrome oxidase subunit IV,none,none
30,KS17gene_175a,Tb927.1.4340,Tb927.1.4370,0.8577620025043097,1.8462533687968242e-28,-0.031797062902889674,0.5461954404930764,-1.0522683391342254,1.0764314952183814e-41,hypothetical protein  conserved,Putative integral membrane protein conserved region (DUF2404)  putative,none,none
31,KS17gene_186a,Tb927.1.4490,Tb927.1.4500,0.6628544527198087,2.290952790522061e-16,0.9334555351608328,2.5609245486487416e-39,0.47410918443128763,1.4617285373587064e-26,acetyltransferase  putative,SNARE associated Golgi protein  putative,none,none
33,KS17gene_202a,Tb927.1.4870,Tb927.1.4890,-0.9853419671805942,0.000214392945007591,-0.913081777938196,0.0016483983493979708,-1.5986617155446112,1.5253294461865896e-08,expression site-associated gene 1 (ESAG1) protein  putative,expression site-associated gene 2 (ESAG2) protein  putative,none,none
34,KS17gene_205a,Tb927.1.4910,Tb927.1.4920,-1.6622838269509974,3.344421936522986e-10,-1.3289835947540793,0.00010850102887391244,-0.7143240378593222,1.5364054239517597e-07,expression site-associated gene 1 (ESAG1) protein  putative,hypothetical protein,none,none
41,KS17gene_231a,Tb927.2.650,Tb927.2.660,-2.0327222629997923,1.1577151714219602e-286,-0.2543062031383576,0.0023870236222974096,-0.9823211762531032,5.814537699652576e-19,hypothetical protein,expression site-associated gene 4 (ESAG4)  degenerate,none,none
43,KS17gene_237a,Tb927.2.900,Tb927.2.910,-1.7628236794824916,1.5649223034058014e-148,-0.31980011504539635,2.9323599178513778e-05,-0.7151034424237195,3.973055561571347e-09,hypothetical protein,expression site-associated gene 4 (ESAG4)  degenerate,none,none
44,KS17gene_240a,Tb927.2.960,Tb927.2.980,-2.2136668532445234,2.3823381968682054e-173,-1.2578192093822127,1.4726191971860595e-08,0.9740841367270634,5.975487624905265e-29,hypothetical protein,retrotransposon hot spot protein 5 (RHS5)  degenerate,none,none
45,KS17gene_244a,Tb927.2.1310,Tb927.2.1330,-2.611664940088785,3.791904010822742e-91,-0.28120165153848875,0.005233990109914472,0.26728659443513897,1.9980507673777282e-08,leucine-rich repeat protein (LRRP  pseudogene)  putative,retrotransposon hot spot protein 6 (RHS6)  degenerate,none,none
47,KS17gene_249a,KS17gene_248a,Tb927.2.1680,-0.5689349692656219,2.7287283706111334e-21,0.5159829727261356,1.754838325792371e-06,0.9931702313864013,3.6820808589503785e-80,none,peptidyl-prolyl cis-trans isomerase  putative,none,none
48,KS17gene_251a,Tb927.2.1700,Tb927.2.1720,-2.785411857470661,0.0,-0.16486305986661867,0.003915938474837216,-1.7103671001211525,5.661989576793811e-92,Enriched in surface-labeled proteome protein 10,hypothetical protein  conserved,none,none
56,KS17gene_297a,Tb927.2.3090,Tb927.2.3160,-1.793233416384725,3.353935340862217e-17,2.3947422246567003,3.188020392366084e-76,-0.4970112688796242,1.594802818045542e-07,hypothetical protein  conserved,Gar1/Naf1 RNA binding region  putative,none,decrease
59,KS17gene_308a,Tb927.2.3270,Tb927.2.3280,-1.259765846595603,4.709697915182374e-15,-0.8526961970813484,3.7562143656129696e-07,-0.5095707950489021,0.002165028457234515,65 kDa invariant surface glycoprotein,65 kDa invariant surface glycoprotein,none,none
62,KS17gene_336a,Tb927.2.5650,Tb927.2.5660,0.48673406125196733,2.082307956311739e-05,-0.4533527101337009,2.8178312439241057e-13,1.6388795692294447,1.2443534e-315,hypothetical protein  conserved,adenylate kinase  putative,none,none
63,KS17gene_338a,Tb927.2.5720,Tb927.2.5750,-0.34550501568378483,3.2976514591917987e-06,-1.1668473180001189,1.8074094625176653e-06,-0.928914720178151,5.9472392164993094e-30,hypothetical protein,tyrosyl-DNA Phosphodiesterase (Tdp1)  putative,none,none
64,KS17gene_355a,Tb927.2.5980,Tb927.2.6000,-0.9971279380000457,5.2426851597677596e-14,0.7249331323771645,1.9884479998003662e-25,0.48590654038024356,1.3521412616925467e-08,chaperone protein ClpB1  putative,glycosylphosphatidylinositol-specific phospholipase C,none,none
65,KS17gene_357a,Tb927.2.6000,Tb927.2.6050,-1.714545285101985,2.1273028060743536e-23,0.48590654038024356,1.3521412616925467e-08,0.9249195477072465,3.767171803040196e-71,glycosylphosphatidylinositol-specific phospholipase C,beta prime COP protein,none,none
66,KS17gene_361a,Tb927.2.6090,Tb927.2.6100,0.5490660961617649,5.760681569703844e-09,1.2558405220142,1.9588098240295768e-38,-0.14831367852541677,0.005348248344637923,60S ribosomal protein L44,hypothetical protein  conserved,none,none
71,KS17gene_385a,Tb927.3.945,Tb927.3.950,-0.31639761287876855,0.0039486656998034995,-0.612833110500456,3.332711657914036e-10,-0.2547962292084206,0.0004408239881288077,hypothetical protein,2OG-Fe(II) oxygenase superfamily  putative,none,none
73,KS17gene_394a,Tb927.3.1030,Tb927.3.1060,-2.6030405453185455,1.3208876130362875e-87,1.1955179095790514,1.0703836862476717e-157,0.8086478639942901,3.593190312256816e-37,RNA-binding protein,cAMP Response Protein 4,none,none
74,KS17gene_396a,Tb927.3.1060,Tb927.3.1070,0.787930534096018,3.6001820971179122e-12,0.8086478639942901,3.593190312256816e-37,-1.2782629776527057,2.0182059126099866e-86,cAMP Response Protein 4,Peptide chain release factor 1  mitochondrial  putative,none,none
75,KS17gene_400a,Tb927.3.1085,Tb927.3.1090,0.1805654523047549,0.004787019570259295,0.16451339976177032,0.00793631388751943,-0.4506122805752656,1.384060364155903e-10,hypothetical protein,U1 small nuclear ribonucleoprotein 24 kDa,none,none
76,KS17gene_404a,Tb927.3.1110,Tb927.3.1120,2.9179970629433245,9.014671408127507e-230,1.0080817398544912,4.268455481063412e-95,2.754390612843087,0.0,Putative intraflagellar transport protein A1,GTP-binding nuclear protein rtb2  putative,none,none
77,KS17gene_406a,Tb927.3.1120,Tb927.3.1130,2.282100725997115,6.325783011805047e-211,2.754390612843087,0.0,0.24104665301952766,3.43541862904674e-08,GTP-binding nuclear protein rtb2  putative,DNA polymerase delta subunit 2  putative,none,none
80,KS17gene_425a,Tb927.3.1260,Tb927.3.1270,-0.38955061837268307,5.145367767980057e-05,-0.9684086207107883,4.1114408286350015e-77,-0.5414812762564685,3.989210906549353e-12,hypothetical protein  conserved,PRP38 family  putative,none,none
82,KS17gene_440a,Tb927.3.1400,Tb927.3.1410,-1.2006095528971914,1.1722708774172457e-46,-0.05590170721801355,0.2482852574950394,1.1611461902794478,1.6613876755919214e-57,alpha-tubulin N-acetyltransferase  putative,cytochrome oxidase subunit VII,none,none
83,KS17gene_445a,Tb927.3.1450,Tb927.3.1460,-0.5906978365194614,1.2717815989111437e-14,0.1883855507093348,0.011179108107789297,0.4801045984349201,1.0993944948095088e-08,CorA-like Mg2+ transporter protein  putative,hypothetical protein,none,none
85,KS17gene_455a,Tb927.3.2320,Tb927.3.2330,-0.8810194301392993,6.132529297205197e-54,-0.23314421402668184,2.064484819525797e-07,0.29263854992682525,4.195921595076494e-11,COP9 signalosome complex subunit 2  putative,kinetoplastid kinetochore protein 17,none,none
86,KS17gene_469a,Tb927.3.2470,Tb927.3.2475,0.4685393700102046,7.735715860963063e-09,-0.6742746194802258,1.008799017835864e-23,1.545532733457847,2.3645454141163314e-122,Pumilio homology domain family member 8,hypothetical protein,none,none
90,KS17gene_486a,Tb927.3.3530,Tb927.3.3540,-1.4652629613679304,1.76299291507168e-26,-1.1427214167608333,5.018472489290665e-114,0.3924543384730885,6.583009342722297e-18,hypothetical protein  conserved,Nucleoporin NUP53b,none,none
91,KS17gene_493a,Tb927.3.3590,Tb927.3.3600,0.39988665040886034,8.692315507819885e-05,-0.17054409870601786,0.079643259426886,1.3849414729643548,2.129014775193085e-103,U3 small nucleolar ribonucleoprotein protein MPP10  putative,hypothetical protein,none,none
92,KS17gene_508a,Tb927.3.3720,Tb927.3.3730,-1.3736017929106932,1.16074361415667e-25,-0.6469586685472626,3.6141281769394927e-16,-1.8308911484823387,1.2218751916038388e-31,Golgi vesicular membrane trafficking protein  putative,ABC transporter  putative,none,none
94,KS17gene_512a,Tb927.3.3740,Tb927.3.3750,-2.1519450967610467,5.447171964643731e-176,0.6566796491666348,2.72683154853498e-38,1.8045325645787258,2.1622851465594958e-197,Zinc-finger double-stranded RNA-binding  putative,paraflagellar rod component  putative,none,none
95,KS17gene_514a,Tb927.3.3750,Tb927.3.3760,-1.6230433440609873,3.7189474660178416e-59,1.8045325645787258,2.1622851465594958e-197,1.8612478538961743,0.0,paraflagellar rod component  putative,tryparedoxin 1b  putative,none,none
96,KS17gene_529a,Tb927.3.3930,Tb927.3.3940,2.1682814689109247,3.983958399730743e-46,0.6089993318195032,1.0300379483633232e-05,2.0647698319305112,1.4307772565675729e-38,RNA-binding protein,RNA-binding protein  putative,none,decrease
98,KS17gene_537a,Tb927.3.4000,Tb927.3.4005,-1.8146092317677402,5.681414753596905e-93,1.4857772641753932,1.6477384626848096e-195,-1.0630369555698003,2.1071998713107557e-24,clathrin coat assembly protein ap19  putative,hypothetical protein,none,none
101,KS17gene_550a,Tb927.3.4960,Tb927.3.4970,-2.886944466792625,8.508212783478822e-77,-1.4013622133873795,1.527103476760469e-21,0.39215759101973074,8.278754893302572e-17,kinesin  putative,hypothetical protein  conserved,none,none
106,KS17gene_583a,Tb927.3.5250,Tb927.3.5260,1.6310953112078241,1.229899769534015e-36,1.1296819305039454,3.5970947911260543e-09,-0.6221333675872283,1.2345790095376878e-29,Zinc finger CCCH domain-containing protein 8,hypothetical protein  conserved,decrease,none
109,KS17gene_602a,Tb927.3.5420,Tb927.3.5430,1.643355186388926,6.826152659560599e-62,0.37025477592890044,1.6357066220465962e-11,0.7515740175474841,4.56143889218511e-30,protein transport protein Sec24,hypothetical protein  conserved,none,none
110,KS17gene_608a,Tb927.3.5470,Tb927.3.5480,0.4618933172928451,4.987310712406915e-11,0.32648300044555834,2.5223278941336986e-08,-0.6610755218758426,3.4713514167788354e-19,hypothetical protein  conserved,hypothetical protein  conserved,none,none
111,KS17gene_614a,Tb927.3.5520,Tb927.3.5530,-0.3039581046350508,2.850447540631994e-05,1.372259234925497,2.5017470443587716e-132,1.1264673509590415,3.4374679141391276e-65,26S proteasome regulatory non-ATPase subunit,Tb-292 membrane associated protein,none,none
112,KS17gene_628a,Tb927.3.5650,Tb927.3.5660,-0.4857299258037557,1.6949054341942067e-10,-0.28221739754640973,1.1844529264141635e-05,-0.5644683448512362,9.099921475914622e-18,STE group serine/threonine-protein kinase  putative,UDP-GlcNAc:alpha3-D-mannoside beta-1 2-N-acetylglucosaminyltransferase I,none,none
114,KS17gene_632a,Tb927.3.5670,Tb927.3.5680,-0.9066358606865463,2.32983556935621e-13,-0.2601219236279154,0.04460303936418454,-2.465913325862114,9.440779573147088e-08,hypothetical protein,variant surface glycoprotein (VSG)-related  putative,none,none
115,KS17gene_634a,Tb927.3.5680,Tb927.3.5690,-1.4894744305016239,1.891304707510392e-05,-2.465913325862114,9.440779573147088e-08,-1.2271021361855265,6.072566291955544e-06,variant surface glycoprotein (VSG)-related  putative,hypothetical protein  conserved,none,none
117,KS17gene_646a,Tb927.4.120,Tb927.4.130,-1.4671903001088833,1.211081669257346e-115,-0.13970056442450304,0.11476046967439588,-0.9357911930593166,2.1858977169944294e-14,hypothetical protein,receptor-type adenylate cyclase GRESAG 4  pseudogene  putative,none,none
118,KS17gene_650a,Tb927.4.2100,Tb927.4.2110,-1.405382611101295,2.3584213384552434e-65,0.16721552017182828,0.0670662473533192,1.4039617456110909,5.730448721865586e-155,hypothetical protein,protein phosphatase 2C  putative,none,none
119,KS17gene_659a,Tb927.4.2180,Tb927.4.2190,-0.8730296398953625,2.387280148418258e-60,-0.13834041382452947,0.20187832675981077,-0.8130194593055312,2.1850276860607958e-29,60S ribosomal protein L35a  putative,GTP-binding protein  putative,none,none
120,KS17gene_667a,Tb927.4.2260,Tb927.4.2265,-0.5984035992377071,1.686341013762406e-08,0.4096248401455409,1.589682506196764e-17,1.506521498930605,2.0390548865127242e-16,centrin-1,hypothetical protein,none,none
121,KS17gene_668a,Tb927.4.2265,Tb927.4.2270,-0.868763597560319,2.647585776207936e-14,1.506521498930605,2.0390548865127242e-16,-0.7285949334612847,1.20328024643433e-22,hypothetical protein,Histone-like transcription factor (CBF/NF-Y) and archaeal histone  putative,none,none
122,KS17gene_673a,Tb927.4.2300,Tb927.4.2310,1.503074819034435,5.5632825932655334e-59,0.5844195261826064,8.513023931168255e-23,1.7810178253175313,1.216751010765678e-149,hypothetical protein  conserved,asparaginyl-tRNA synthetase  putative,none,none
124,KS17gene_695a,Tb927.4.2490,Tb927.4.2500,0.9273340641523319,7.705963172913345e-13,-0.6732416381884716,3.979694392787647e-27,0.386185953417743,0.0002974770773349272,hypothetical protein  conserved,eukaryotic translation initiation factor 2-alpha kinase 2,none,none
126,KS17gene_704a,Tb927.4.2590,Tb927.4.2600,-1.928262464861794,5.994073795579806e-50,0.17988854931307346,0.062400662423160703,0.5187236772429767,6.579237296320393e-17,hypothetical protein  conserved,SUMO-interacting motif-containing protein,none,none
128,KS17gene_722a,Tb927.4.2750,Tb927.4.2760,-1.8749591588231238,4.9663726558795854e-33,1.6672671319905805,7.712856318797788e-69,-0.48461138185708613,8.036577498117513e-14,hypothetical protein  conserved,Protein of unknown function (DUF3808)  putative,none,none
129,KS17gene_731a,Tb927.4.2840,Tb927.4.2850,-1.4793688966369765,8.867415023398283e-50,-0.21327964679671557,1.812666816453936e-06,0.30783035198717945,2.3623716954879946e-10,hypothetical protein  conserved,hypothetical protein  conserved,none,none
130,KS17gene_735a,Tb927.4.2870,Tb927.4.2880,0.22968588488708525,0.0034574083319100926,0.27254699599869475,6.495342814960345e-08,0.18282805598722485,0.00047745576405184117,hypothetical protein  conserved,Nucleoporin NUP225,none,none
131,KS17gene_738a,Tb927.4.2890,Tb927.4.2900,1.4001202519247893,3.2718239525925052e-74,0.718789161685614,1.1868017948762438e-54,-0.9508913734316132,3.511968637786441e-92,hypothetical protein  conserved,hypothetical protein  conserved,none,none
132,KS17gene_741a,Tb927.4.2910,Tb927.4.2920,1.1203653224962027,1.2109948287418267e-58,0.43148173855053634,7.087204984794378e-23,-0.25743447511050094,4.343590065921904e-06,hypothetical protein  conserved,hypothetical protein  conserved,none,none
133,KS17gene_747a,Tb927.4.3150,Tb927.4.3160,0.5735796992654398,2.5778590974407935e-11,0.5375457128378718,8.055367239205766e-34,0.190354023612308,0.00014683987037803,hypothetical protein  conserved,dihydroxyacetone phosphate acyltransferase  putative,none,none
136,KS17gene_759a,KS17gene_758a,Tb927.5.640,-1.199699080739264,7.401623336218623e-149,-0.016703285716611168,0.8408195826693879,-0.30399753873012786,0.0004913952878928941,none,trans-sialidase  putative,none,none
137,KS17gene_761a,Tb927.5.640,Tb927.5.650,-1.4854056667722393,2.8085689355348304e-111,-0.30399753873012786,0.0004913952878928941,-0.6226435693053816,1.2370998781871004e-09,trans-sialidase  putative,receptor-type adenylate cyclase GRESAG 4  putative,none,none
138,KS17gene_771a,Tb927.5.700,Tb927.5.710,-1.962569366522124,8.27917504339889e-208,1.2747607492352702,2.2467357974700693e-64,-0.2796641806499683,3.265352941150657e-08,F-box-like  putative,hypothetical protein  conserved,none,none
139,KS17gene_781a,Tb927.5.790,Tb927.5.800,1.628114207574761,8.823967660563011e-34,0.4153330890308193,5.097006204985346e-08,2.537752423029647,1.0552e-319,casein kinase I isoform 1,casein kinase I  isoform 2,none,none
142,KS17gene_791a,Tb927.5.860,Tb927.5.890,0.2272855624607028,0.000490924412953116,0.10394275803009523,0.05705316850254746,0.42777510431294363,4.922890110702662e-16,Selenoprotein T  putative,oligosaccharyl transferase subunit  putative,none,none
143,KS17gene_796a,Tb927.5.940,Tb927.5.950,-2.0674766222728453,1.2179965337132539e-113,0.9386103985312919,1.4939604052274628e-72,1.3450182249045473,4.088604507272207e-184,NADH-dependent fumarate reductase  putative,monothiol glutaredoxin  putative,none,none
144,KS17gene_807a,Tb927.5.1050,Tb927.5.1060,0.9968069561173356,1.6500070677762764e-17,0.7527706986390174,1.9539749304476365e-29,1.1756699567032751,2.0260978333147978e-63,hypothetical protein,mitochondrial processing peptidase  beta subunit  putative,none,none
147,KS17gene_817a,Tb927.5.1140,Tb927.5.1145,0.9294286576893139,2.4645224099028297e-35,0.7557688642473825,9.25544032979465e-62,-1.538555783943739,4.877625322086777e-40,choline/ethanolamine kinase,hypothetical protein,none,none
148,KS17gene_824a,Tb927.5.1180,Tb927.5.1200,-1.5730483674356444,3.091606765162921e-65,-1.15263960267783,4.810234671495226e-112,0.25519815045599775,1.9192488684204495e-09,hypothetical protein  conserved,exosome complex component CSL4,none,none
149,KS17gene_827a,Tb927.5.1220,Tb927.5.1230,0.9658496305900174,3.627840197788813e-28,-0.6245881869964603,2.0206894132517298e-14,0.563206399873165,1.6960052978250737e-12,hypothetical protein  conserved,hypothetical protein  conserved,none,none
150,KS17gene_830a,Tb927.5.1250,Tb927.5.1260,1.20601054510394,4.4393833110709065e-33,0.5769079965055043,3.725798606508912e-27,0.7875199325543037,9.638168746312789e-12,GAF domain/TIP41-like family  putative,Sulfate transporter N-terminal domain with GLY motif/Sulfate transporter family  putative,none,none
151,KS17gene_840a,Tb927.5.1340,Tb927.5.1350,-0.4038805453547757,5.8315300496342976e-08,0.1281903094150499,0.003549858778867128,-1.042123086235734,1.8615621814424445e-80,pre-mRNA splicing factor  putative,hypothetical protein  conserved,none,none
153,KS17gene_850a,Tb927.5.1600,Tb927.5.1610,-0.6229604565225189,2.1851489074281377e-08,-0.08258800466660363,0.053140401817232064,1.2348022812776096,4.1326177229807237e-25,hypothetical protein  conserved,60S ribosomal protein L13a  putative,increase,none
154,KS17gene_855a,Tb927.5.1640,Tb927.5.1650,-0.8564015595671117,8.41568529613988e-10,0.17942582759573822,6.544052007523326e-05,0.6231875095693286,7.087204984794378e-23,hypothetical protein  conserved,CMGC/DYRK protein kinase  putative,none,none
155,KS17gene_862a,Tb927.5.1700,Tb927.5.1710,1.4413537963093515,6.890040478876136e-44,1.830208384247117,4.430283357609677e-205,2.1523598651773534,2.810295375727578e-225,replication Factor A 28 kDa subunit  putative,ATP synthase F(0) complex subunit B  mitochondrial  putative,none,none
156,KS17gene_864a,Tb927.5.1710,Tb927.5.1720,1.2594269108782865,2.7902482868313647e-38,2.1523598651773534,2.810295375727578e-225,-1.7465168346652333,1.1569287148649978e-124,ATP synthase F(0) complex subunit B  mitochondrial  putative,hypothetical protein  conserved,none,none
159,KS17gene_882a,Tb927.5.1890,Tb927.5.1900,1.129034206692244,2.29473753831942e-45,-0.05663917383121732,0.29904294737884207,-0.6616379492352233,2.285771825130802e-36,hypothetical protein  conserved,Outer dynein arm docking complex protein 1  putative,none,none
160,KS17gene_888a,Tb927.5.1940,Tb927.5.1950,-0.8998426139796306,2.876834998507258e-29,0.11463888094988636,0.04080775138550369,0.6083051588051995,1.0550183018167305e-13,hypothetical protein  conserved,hypothetical protein  conserved,none,none
161,KS17gene_893a,Tb927.5.1980,Tb927.5.1990,-1.0541556246474417,1.8876287141373028e-67,0.06330512946400013,0.21921516058196655,1.0702866078661168,1.8633673468894663e-45,Galactose oxidase  central domain/Kelch motif containing protein  putative,hypothetical protein  conserved,none,increase
163,KS17gene_900a,Tb927.5.2000,Tb927.5.2010,-0.3211156287869285,4.5088496945032236e-05,1.9682220434298854,1.7348141737965924e-65,0.33369898231270884,2.1150297033121273e-05,hypothetical protein,hypothetical protein,none,none
164,KS17gene_902a,Tb927.5.2160,Tb927.5.2170,-1.9137564533754534,4.825321386701804e-76,0.9529422060325001,1.2668159398772396e-49,1.0176989205863956,6.153908899573469e-80,conserved protein,conserved protein,none,none
166,KS17gene_910a,Tb927.5.2320,Tb927.5.2325,2.026206265632605,1.9118596959277176e-174,1.149804971255458,3.475766624278599e-125,0.2663670879947429,0.0001836668515113536,Mak10 subunit  NatC N(alpha)-terminal acetyltransferase  putative,hypothetical protein,none,none
167,KS17gene_915a,Tb927.5.2330,Tb927.5.2340,1.4288468592903485,3.794366004097357e-09,-0.4788332985572789,1.545113895938433e-13,0.21877382955956928,2.2055291432796506e-05,hypothetical protein  conserved,hypothetical protein  conserved,none,none
168,KS17gene_923a,Tb927.5.2390,Tb927.5.2400,1.9084218556514423,1.7198799387879037e-30,0.8730805215547384,1.6995184335027718e-20,0.9956991608564302,8.762899508043695e-59,hypothetical protein  conserved,Peptidase C19  ubiquitin carboxyl-terminal hydrolase  putative,none,none
169,KS17gene_924a,Tb927.5.2400,Tb927.5.2410,1.7969997526152073,3.6292972390962036e-44,0.9956991608564302,8.762899508043695e-59,0.6423535200358219,6.954896516712233e-20,Peptidase C19  ubiquitin carboxyl-terminal hydrolase  putative,kinesin  putative,none,increase
170,KS17gene_925a,Tb927.5.2410,Tb927.5.2420,1.717779714263853,4.9803628927208045e-26,0.6423535200358219,6.954896516712233e-20,-0.1766764419157213,0.0005557622200451453,kinesin  putative,NOL1/NOP2/sun family  putative,increase,none
172,KS17gene_939a,Tb927.5.2480,Tb927.5.2490,-0.6149881329062344,0.000946413412816424,0.23708065450769206,0.309522630421269,0.28471847596760497,0.0012716989139400284,hypothetical protein  conserved,hypothetical protein  conserved  frameshift,none,none
175,KS17gene_947a,Tb927.5.2520,Tb927.5.2530,-1.6283415952722209,1.635424721379155e-55,-0.38714617829590264,5.230730986265593e-10,0.49997548904254646,2.141970893644354e-14,TPR repeat  putative,RNA cytidine acetyltransferase,none,none
176,KS17gene_951a,Tb927.5.2580,Tb927.5.2590,0.6946203231671783,2.903103322672485e-15,0.3129277081431834,2.8887980776992164e-08,0.7680854984303239,1.6088183176341542e-52,hypothetical protein  conserved,Macro domain containing protein  putative,none,none
177,KS17gene_955a,Tb927.5.2610,Tb927.5.2620,0.6679820272195389,1.1837356307081214e-13,0.7616970166632734,1.2559460597375704e-31,2.1431304599389924,9.940015391234325e-50,hypothetical protein  conserved,hypothetical protein  conserved,none,increase
178,KS17gene_959a,Tb927.5.2640,Tb927.5.2650,1.0556785205434351,1.5412951068977688e-12,0.5854396678208976,8.427930508375108e-20,0.5297422255515765,2.183781225494472e-20,nicotinamide/nicotinic acid mononucleotide adenylyltransferase,L-galactonolactone oxidase,none,none
179,KS17gene_963a,Tb927.5.2690,Tb927.5.2700,-0.3135925926732462,0.008378264762448143,0.3131304289411693,1.0048223695436455e-06,0.6178682049928026,1.8063322067272758e-41,inositol-1(or 4)-monophosphatase 1  putative,otubain cysteine peptidase  Clan CA  family C65  putative,none,none
181,KS17gene_981a,Tb927.5.2990,Tb927.5.3000,0.9397512704464238,9.586896534773544e-62,0.2683312458614906,1.0923965995779494e-08,-0.18825067827066652,0.0006616352454037091,hypothetical protein  conserved,Thiopurine S-methyltransferase (TPMT)  putative,none,none
183,KS17gene_996a,Tb927.5.3530,Tb927.5.3540,-0.23930513415062926,0.005474523827036375,-0.1454142109630271,0.10383901763694539,-0.5332062300585014,1.0059625610816239e-27,hypothetical protein  conserved,Meckelin (Transmembrane protein 67)  putative,none,none
184,KS17gene_1000a,Tb927.5.3560,Tb927.5.3570,1.3789640344365837,5.644431409656958e-96,1.8460303179728892,1.7564454440447885e-236,0.627311222065693,1.2072508809192995e-45,vesicle-associated membrane protein  putative,hypothetical protein  conserved,none,none
